match_id,season_id,season,source_team_ids,fvcc_team_id,fvcc_team_name,grade_id,grade_name,grade_label,round_name,round_display,round_sort,match_date,opponent_name,result_label,result_class,result_text,best_batter,best_bowler,is_premiership
48d5b2f5-35bd-444c-8882-8c18f5057c2c,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,b0e37bae-e150-4192-bdae-51f3f1887731,9eb2ff91-f0c4-452b-b872-7972467473d5,Bennettswood Cricket Club,b6d40075-0aa9-4c55-a0a6-308e3bdb2a81,B3 Grade,Bennettswood Cricket Club - B3 Grade,Round 6,R6,6,1991-12-14 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
e2360fd6-c9c9-4f29-a374-eb351cce063a,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,990c6a14-8d78-4d2c-a7b5-bf4bbca0141a,866d9a4d-fbcb-468d-8746-372bc8eac1ca,Blackburn,d0eee33c-63bd-4b4e-89a7-573be0b83d8c,A2 Grade,Blackburn - A2 Grade,Round 9,R9,9,1992-01-25 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
b96a9529-2b80-4f9d-b7bc-8ef2bac36f5e,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,fc1cf734-cb29-44ce-a82a-b1a4ce22c6c9,8937bfa7-2349-405c-b692-f4f3b39e3c33,Blackburn,4329794c-afd8-4715-b485-4f3763f35541,B1 Grade,Blackburn - B1 Grade,Round 8,R8,8,1992-01-11 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
70438ff5-93a9-4bfc-afe5-a67686226616,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,b0e37bae-e150-4192-bdae-51f3f1887731,97ddf120-fed4-4a23-88a1-e4c33e5fdb0e,Blackburn,b6d40075-0aa9-4c55-a0a6-308e3bdb2a81,B3 Grade,Blackburn - B3 Grade,Round 7,R7,7,1992-01-04 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
388807f0-dc80-4af1-8727-97792fe55cb0,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,601b490a-ba36-4ca2-9622-6a6ff3da82ff,7997dc61-f76e-41ec-aee6-0fa1acec97e1,Blackburn,86692f76-13bd-43e1-8199-4e1c82b8faf4,C2 Grade,Blackburn - C2 Grade,Round 10,R10,10,1992-02-08 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
6ce3b817-f07e-4dc8-a6fc-53643add9668,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,a719dee9-a7b9-4d62-ad55-4f288d64287e,5dec6e54-9134-48ed-acf6-242d73be8483,Blackburn North,2887d986-c308-4ed4-843a-48b37ed12fd3,D1 Grade,Blackburn North - D1 Grade,Round 11,R11,11,1992-02-22 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
30755fc7-c32e-4e16-b148-9e3358164063,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,601b490a-ba36-4ca2-9622-6a6ff3da82ff,b909acf0-65f0-47fa-9592-5269b6e04e33,Box Hill North,86692f76-13bd-43e1-8199-4e1c82b8faf4,C2 Grade,Box Hill North - C2 Grade,Round 2,R2,2,1991-10-19 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
b099c62e-bd3b-4a79-8c50-9ce59a8b4f13,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,fc1cf734-cb29-44ce-a82a-b1a4ce22c6c9,21f55ed1-94ef-420d-872b-3c13a9453db9,Burwood District,4329794c-afd8-4715-b485-4f3763f35541,B1 Grade,Burwood District - B1 Grade,Round 10,R10,10,1992-02-08 00:00:00+00:00,Glen Waverley Hawks Cricket Club,Loss,loss,lost by 2 wickets,Ross Andrews 65,Andrew Mciver 2-28,False
15cfad4a-c57b-4fca-81e8-e076effcbe46,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,601b490a-ba36-4ca2-9622-6a6ff3da82ff,9cdca0bc-12ca-40f2-99f4-86c21d67b186,Burwood District,86692f76-13bd-43e1-8199-4e1c82b8faf4,C2 Grade,Burwood District - C2 Grade,Round 3,R3,3,1991-11-02 00:00:00+00:00,Glen Waverley Hawks Cricket Club,Loss,loss,lost by 1 wickets,Colin St Clair 28,Andrew Patterson 3-45,False
abd394d2-c0cd-42de-8038-d7f6b5f057ae,fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,990c6a14-8d78-4d2c-a7b5-bf4bbca0141a,86623e18-175d-4844-9d9f-07086236c6a4,Burwood Heights,d0eee33c-63bd-4b4e-89a7-573be0b83d8c,A2 Grade,Burwood Heights - A2 Grade,Round 11,R11,11,1992-02-22 00:00:00+00:00,Glen Waverley Hawks Cricket Club,No Result,none,Result pending,—,—,False
