player_id,player_name,short_name,club,team_name,grade_name,season_id,season,season_start_date,competition_name,raw_player_id,raw_player_name,source_system,source_file,source_sheet,source_row,data_confidence,matches,bowlingWickets,bowlingMaidens,bowlingRuns,bowlingBalls,bowling5WIs,bowling10WMs,bowlingBestInnings,bowlingAverage,bowlingStrikeRate,bowlingEconomyRate,bowlingWides,bowlingNoBalls,team_id,grade_id,bowlingWicketsUnassisted,canonical_player_id,canonical_player_name
excel_8cf80dc5495e1f63,A Ashley,A Ashley,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_8cf80dc5495e1f63,A Ashley,excel,bexley_stats_spreadsheets.xlsx,1929-30,4,medium,,1,,31,,,,,31,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_be53577923994508,R Bartley,R Bartley,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_be53577923994508,R Bartley,excel,bexley_stats_spreadsheets.xlsx,1929-30,6,medium,,8,1,268,264,,,,33.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_f45dd49bde489d09,Percy Eldridge,P Eldridge,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_f45dd49bde489d09,Percy Eldridge,excel,bexley_stats_spreadsheets.xlsx,1929-30,8,medium,,1,,158,,,,,158,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_5efc89beecd6b760,W Fleming,W Fleming,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_5efc89beecd6b760,W Fleming,excel,bexley_stats_spreadsheets.xlsx,1929-30,9,medium,,,,35,,,,,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_c4349404458c12dc,N Ford,N Ford,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_c4349404458c12dc,N Ford,excel,bexley_stats_spreadsheets.xlsx,1929-30,10,medium,,10,,123,,,,,12.3,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_e48308d6760f6732,F Hurst,F Hurst,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_e48308d6760f6732,F Hurst,excel,bexley_stats_spreadsheets.xlsx,1929-30,11,medium,,10,,196,,,,,19.6,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_df74cf54080085bc,E Jones,E Jones,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_df74cf54080085bc,E Jones,excel,bexley_stats_spreadsheets.xlsx,1929-30,13,medium,,,,11,,,,,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_d74c9e7d30dd1308,M Jones,M Jones,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d74c9e7d30dd1308,M Jones,excel,bexley_stats_spreadsheets.xlsx,1929-30,14,medium,,31,7,500,684,,,,16.12903226,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_de0ada41d95afb11,W Lofberg,W Lofberg,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_de0ada41d95afb11,W Lofberg,excel,bexley_stats_spreadsheets.xlsx,1929-30,16,medium,,3,,104,,,,,34.66666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_cf23aa0f470d3f56,T O'neill,T O'neill,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_cf23aa0f470d3f56,T O'neill,excel,bexley_stats_spreadsheets.xlsx,1929-30,17,medium,,31,10,739,969,,,,23.83870968,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
excel_4f6e1449450566fd,E Reid,E Reid,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_4f6e1449450566fd,E Reid,excel,bexley_stats_spreadsheets.xlsx,1929-30,18,medium,,2,,113,,,,,56.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,,
